Jahr;Monat;Tag;Umsatz;Bodenrinnen;Duschrinnen
2014;October;14;2409,3;481,86;1927,44
2014;October;15;2312,64;462,53;1850,11
2014;October;16;2647,77;529,55;2118,22
2014;October;17;1827,58;365,52;1462,07
2014;October;18;2086,71;417,34;1669,37
2014;October;19;2683,42;536,68;2146,73
2014;October;20;2799,15;559,83;2239,32
2014;October;21;2054,46;410,89;1643,57
2014;October;22;2558,9;511,78;2047,12
2014;October;23;1774,0;354,8;1419,2
2014;October;24;2104,12;420,82;1683,29
2014;October;25;1926,84;385,37;1541,47
2014;October;26;1470,84;294,17;1176,67
2014;October;27;2765,32;553,06;2212,26
2014;October;28;1921,35;384,27;1537,08
2014;October;29;2223,53;444,71;1778,82
2014;October;30;2025,65;405,13;1620,52
2014;October;31;2151,34;430,27;1721,08
2014;November;1;2317,95;463,59;1854,36
2014;November;2;2667,39;533,48;2133,92
2014;November;3;2792,85;558,57;2234,28
2014;November;4;3042,02;608,4;2433,61
2014;November;5;2343,41;468,68;1874,73
2014;November;6;2001,13;400,23;1600,9
2014;November;7;2827,72;565,54;2262,18
2014;November;8;2011,66;402,33;1609,33
2014;November;9;2777,45;555,49;2221,96
2014;November;10;3107,02;621,4;2485,61
2014;November;11;2583,61;516,72;2066,89
2014;November;12;2245,91;449,18;1796,73
2014;November;13;1687,23;337,45;1349,78
2014;November;14;1759,81;351,96;1407,85
2014;November;15;3174,57;634,91;2539,65
2014;November;16;2313,7;462,74;1850,96
2014;November;17;1682,28;336,46;1345,82
2014;November;18;3020,45;604,09;2416,36
2014;November;19;1675,26;335,05;1340,21
2014;November;20;2817,01;563,4;2253,61
2014;November;21;2806,09;561,22;2244,87
2014;November;22;2121,87;424,37;1697,5
2014;November;23;1965,12;393,02;1572,1
2014;November;24;1985,44;397,09;1588,35
2014;November;25;1907,72;381,54;1526,18
2014;November;26;2362,75;472,55;1890,2
2014;November;27;1946,91;389,38;1557,52
2014;November;28;2487,35;497,47;1989,88
2014;November;29;2293,95;458,79;1835,16
2014;November;30;1725,67;345,13;1380,54
2014;December;1;2551,5;510,3;2041,2
2014;December;2;2474,43;494,89;1979,54
2014;December;3;2388,73;477,75;1910,99
2014;December;4;2460,04;492,01;1968,03
2014;December;5;1642,56;328,51;1314,04
2014;December;6;2356,93;471,39;1885,54
2014;December;7;1444,13;288,83;1155,31
2014;December;8;2038,33;407,67;1630,67
2014;December;9;1704,44;340,89;1363,55
2014;December;10;2132,24;426,45;1705,79
2014;December;11;2572,58;514,52;2058,06
2014;December;12;2067,46;413,49;1653,97
2014;December;13;2644,55;528,91;2115,64
2014;December;14;2379,22;475,84;1903,37
2014;December;15;2570,21;514,04;2056,17
2014;December;16;1651,46;330,29;1321,17
2014;December;17;2041,7;408,34;1633,36
2014;December;18;1792,23;358,45;1433,78
2014;December;19;1737,97;347,59;1390,37
2014;December;20;2294,72;458,94;1835,78
2014;December;21;2440,08;488,02;1952,07
2014;December;22;2635,86;527,17;2108,69
2014;December;23;1628,53;325,71;1302,82
2014;December;24;2654,1;530,82;2123,28
2014;December;25;2117,89;423,58;1694,31
2014;December;26;1900,81;380,16;1520,65
2014;December;27;2117,65;423,53;1694,12
2014;December;28;2419,86;483,97;1935,89
2014;December;29;2012,97;402,59;1610,37
2014;December;30;2041,76;408,35;1633,41
2014;December;31;2272,11;454,42;1817,69
2015;January;1;2059,96;411,99;1647,97
2015;January;2;2783,22;556,64;2226,57
2015;January;3;2587,13;517,43;2069,71
2015;January;4;1731,73;346,35;1385,39
2015;January;5;2020,34;404,07;1616,27
2015;January;6;2643,99;528,8;2115,19
2015;January;7;3043,9;608,78;2435,12
2015;January;8;2260,86;452,17;1808,68
2015;January;9;2344,68;468,94;1875,75
2015;January;10;2840,7;568,14;2272,56
2015;January;11;2619,36;523,87;2095,49
2015;January;12;1983,33;396,67;1586,66
2015;January;13;2950,47;590,09;2360,38
2015;January;14;1737,69;347,54;1390,15
2015;January;15;2970,92;594,18;2376,74
2015;January;16;2276,4;455,28;1821,12
2015;January;17;1904,05;380,81;1523,24
2015;January;18;1969,26;393,85;1575,41
2015;January;19;2665,36;533,07;2132,29
2015;January;20;3098,03;619,61;2478,43
2015;January;21;2392,19;478,44;1913,75
2015;January;22;1939,73;387,95;1551,78
2015;January;23;2027,2;405,44;1621,76
2015;January;24;2646,25;529,25;2117,0
2015;January;25;2170,99;434,2;1736,79
2015;January;26;2154,12;430,82;1723,29
2015;January;27;2636,4;527,28;2109,12
2015;January;28;2180,55;436,11;1744,44
2015;January;29;1729,29;345,86;1383,43
2015;January;30;2976,87;595,37;2381,5
2015;January;31;1837,75;367,55;1470,2
2015;February;1;2242,61;448,52;1794,09
2015;February;2;1778,06;355,61;1422,44
2015;February;3;2852,66;570,53;2282,13
2015;February;4;1934,81;386,96;1547,85
2015;February;5;2760,97;552,19;2208,77
2015;February;6;3150,0;630,0;2520,0
2015;February;7;2112,97;422,59;1690,38
2015;February;8;3420,84;684,17;2736,68
2015;February;9;3252,65;650,53;2602,12
2015;February;10;2499,75;499,95;1999,8
2015;February;11;3193,12;638,62;2554,49
2015;February;12;3157,46;631,49;2525,97
2015;February;13;3023,92;604,78;2419,14
2015;February;14;3100,16;620,03;2480,13
2015;February;15;2016,1;403,22;1612,88
2015;February;16;3160,67;632,13;2528,53
2015;February;17;2092,91;418,58;1674,33
2015;February;18;2789,81;557,96;2231,85
2015;February;19;3277,63;655,53;2622,1
2015;February;20;2489,86;497,97;1991,89
2015;February;21;2566,41;513,28;2053,13
2015;February;22;2265,63;453,13;1812,5
2015;February;23;2433,61;486,72;1946,89
2015;February;24;2186,42;437,28;1749,13
2015;February;25;3160,74;632,15;2528,59
2015;February;26;1815,53;363,11;1452,42
2015;February;27;2311,96;462,39;1849,57
2015;February;28;2809,47;561,89;2247,58
2015;March;1;2652,97;530,59;2122,38
2015;March;2;2809,48;561,9;2247,58
2015;March;3;1799,77;359,95;1439,81
2015;March;4;2101,43;420,29;1681,15
2015;March;5;2735,47;547,09;2188,38
2015;March;6;2176,74;435,35;1741,39
2015;March;7;1784,95;356,99;1427,96
2015;March;8;1999,93;399,99;1599,94
2015;March;9;2259,55;451,91;1807,64
2015;March;10;2828,73;565,75;2262,98
2015;March;11;2030,35;406,07;1624,28
2015;March;12;2594,89;518,98;2075,91
2015;March;13;2454,98;491,0;1963,98
2015;March;14;2175,56;435,11;1740,45
2015;March;15;1881,57;376,31;1505,26
2015;March;16;1572,05;314,41;1257,64
2015;March;17;2120,76;424,15;1696,61
2015;March;18;3055,8;611,16;2444,64
2015;March;19;1876,52;375,3;1501,21
2015;March;20;1968,99;393,8;1575,19
2015;March;21;2322,53;464,51;1858,02
2015;March;22;2516,64;503,33;2013,32
2015;March;23;2815,84;563,17;2252,67
2015;March;24;1761,76;352,35;1409,41
2015;March;25;2700,2;540,04;2160,16
2015;March;26;2994,56;598,91;2395,65
2015;March;27;2699,97;539,99;2159,98
2015;March;28;1951,37;390,27;1561,1
2015;March;29;3022,93;604,59;2418,34
2015;March;30;2616,17;523,23;2092,94
2015;March;31;2639,68;527,94;2111,74
2015;April;1;2259,92;451,98;1807,93
2015;April;2;2576,83;515,37;2061,46
2015;April;3;2272,04;454,41;1817,63
2015;April;4;2352,63;470,53;1882,1
2015;April;5;2784,69;556,94;2227,75
2015;April;6;2034,98;407,0;1627,98
2015;April;7;2481,87;496,37;1985,5
2015;April;8;3198,78;639,76;2559,03
2015;April;9;2460,73;492,15;1968,59
2015;April;10;2134,64;426,93;1707,71
2015;April;11;1760,87;352,17;1408,7
2015;April;12;2491,25;498,25;1993,0
2015;April;13;1749,33;349,87;1399,46
2015;April;14;3136,68;627,34;2509,35
2015;April;15;2842,13;568,43;2273,71
2015;April;16;2785,45;557,09;2228,36
2015;April;17;2363,58;472,72;1890,86
2015;April;18;1765,25;353,05;1412,2
2015;April;19;2905,58;581,12;2324,46
2015;April;20;1804,9;360,98;1443,92
2015;April;21;2424,72;484,94;1939,77
2015;April;22;1809,95;361,99;1447,96
2015;April;23;2073,52;414,7;1658,82
2015;April;24;1856,31;371,26;1485,05
2015;April;25;3149,76;629,95;2519,81
2015;April;26;1754,33;350,87;1403,47
2015;April;27;2823,14;564,63;2258,51
2015;April;28;2773,95;554,79;2219,16
2015;April;29;1787,1;357,42;1429,68
2015;April;30;2248,33;449,67;1798,66
2015;May;1;3286,43;657,29;2629,14
2015;May;2;3180,34;636,07;2544,27
2015;May;3;3299,76;659,95;2639,81
2015;May;4;3282,54;656,51;2626,03
2015;May;5;2656,83;531,37;2125,46
2015;May;6;1941,49;388,3;1553,19
2015;May;7;1891,48;378,3;1513,19
2015;May;8;3191,18;638,24;2552,94
2015;May;9;2947,16;589,43;2357,73
2015;May;10;1697,4;339,48;1357,92
2015;May;11;1842,28;368,46;1473,83
2015;May;12;2014,96;402,99;1611,97
2015;May;13;2158,78;431,76;1727,02
2015;May;14;2831,64;566,33;2265,31
2015;May;15;3274,8;654,96;2619,84
2015;May;16;2521,15;504,23;2016,92
2015;May;17;1954,29;390,86;1563,43
2015;May;18;3272,0;654,4;2617,6
2015;May;19;1793,73;358,75;1434,98
2015;May;20;2794,93;558,99;2235,94
2015;May;21;1826,39;365,28;1461,11
2015;May;22;2912,61;582,52;2330,09
2015;May;23;3097,06;619,41;2477,65
2015;May;24;1712,15;342,43;1369,72
2015;May;25;2585,65;517,13;2068,52
2015;May;26;2999,42;599,88;2399,54
2015;May;27;2432,43;486,49;1945,94
2015;May;28;1814,67;362,93;1451,74
2015;May;29;1888,27;377,65;1510,62
2015;May;30;2811,64;562,33;2249,31
2015;May;31;2408,94;481,79;1927,15
2015;June;1;3287,73;657,55;2630,18
2015;June;2;2359,57;471,91;1887,66
2015;June;3;2439,98;488,0;1951,99
2015;June;4;2292,71;458,54;1834,17
2015;June;5;2795,97;559,19;2236,77
2015;June;6;1670,18;334,04;1336,14
2015;June;7;2535,39;507,08;2028,31
2015;June;8;2644,35;528,87;2115,48
2015;June;9;2217,57;443,51;1774,06
2015;June;10;3064,72;612,94;2451,77
2015;June;11;3087,43;617,49;2469,94
2015;June;12;3061,18;612,24;2448,95
2015;June;13;3227,77;645,55;2582,22
2015;June;14;2618,86;523,77;2095,09
2015;June;15;2771,2;554,24;2216,96
2015;June;16;1670,16;334,03;1336,12
2015;June;17;2263,89;452,78;1811,11
2015;June;18;2230,84;446,17;1784,67
2015;June;19;2545,68;509,14;2036,54
2015;June;20;2586,77;517,35;2069,42
2015;June;21;3052,49;610,5;2441,99
2015;June;22;2768,83;553,77;2215,06
2015;June;23;2878,26;575,65;2302,61
2015;June;24;3228,36;645,67;2582,69
2015;June;25;2031,66;406,33;1625,33
2015;June;26;2070,48;414,1;1656,38
2015;June;27;1864,47;372,89;1491,57
2015;June;28;2342,55;468,51;1874,04
2015;June;29;2408,82;481,76;1927,06
2015;June;30;2891,64;578,33;2313,31
2015;July;1;2177,41;435,48;1741,93
2015;July;2;1903,31;380,66;1522,65
2015;July;3;3076,36;615,27;2461,09
2015;July;4;2544,53;508,91;2035,62
2015;July;5;2443,42;488,68;1954,74
2015;July;6;1932,33;386,47;1545,87
2015;July;7;1910,04;382,01;1528,03
2015;July;8;2983,49;596,7;2386,79
2015;July;9;3317,71;663,54;2654,17
2015;July;10;2529,39;505,88;2023,51
2015;July;11;3141,11;628,22;2512,89
2015;July;12;3321,69;664,34;2657,35
2015;July;13;2846,23;569,25;2276,98
2015;July;14;2290,8;458,16;1832,64
2015;July;15;2076,83;415,37;1661,46
2015;July;16;3490,18;698,04;2792,15
2015;July;17;1868,8;373,76;1495,04
2015;July;18;3344,14;668,83;2675,32
2015;July;19;1945,31;389,06;1556,25
2015;July;20;2285,51;457,1;1828,41
2015;July;21;1999,89;399,98;1599,91
2015;July;22;2122,52;424,5;1698,02
2015;July;23;2155,77;431,15;1724,62
2015;July;24;3435,23;687,05;2748,18
2015;July;25;3076,97;615,39;2461,58
2015;July;26;2809,66;561,93;2247,73
2015;July;27;2541,51;508,3;2033,21
2015;July;28;2148,68;429,74;1718,94
2015;July;29;1871,31;374,26;1497,05
2015;July;30;3641,82;728,36;2913,46
2015;July;31;2249,66;449,93;1799,73
2015;August;1;2621,47;524,29;2097,17
2015;August;2;3180,03;636,01;2544,03
2015;August;3;2558,06;511,61;2046,45
2015;August;4;1949,13;389,83;1559,31
2015;August;5;2747,68;549,54;2198,14
2015;August;6;2217,75;443,55;1774,2
2015;August;7;2851,55;570,31;2281,24
2015;August;8;2958,66;591,73;2366,93
2015;August;9;2227,04;445,41;1781,63
2015;August;10;2414,54;482,91;1931,63
2015;August;11;2527,5;505,5;2022,0
2015;August;12;1728,27;345,65;1382,61
2015;August;13;2669,97;533,99;2135,98
2015;August;14;2799,24;559,85;2239,39
2015;August;15;1839,46;367,89;1471,57
2015;August;16;2310,74;462,15;1848,6
2015;August;17;3019,55;603,91;2415,64
2015;August;18;3017,41;603,48;2413,93
2015;August;19;2672,61;534,52;2138,09
2015;August;20;3219,48;643,9;2575,58
2015;August;21;2553,1;510,62;2042,48
2015;August;22;1869,86;373,97;1495,89
2015;August;23;1849,34;369,87;1479,47
2015;August;24;2260,03;452,01;1808,03
2015;August;25;1980,24;396,05;1584,19
2015;August;26;2778,88;555,78;2223,11
2015;August;27;2988,19;597,64;2390,55
2015;August;28;2307,07;461,41;1845,66
2015;August;29;2126,67;425,33;1701,34
2015;August;30;2434,47;486,89;1947,57
2015;August;31;2134,63;426,93;1707,7
2015;September;1;2166,46;433,29;1733,17
2015;September;2;2157,73;431,55;1726,19
2015;September;3;2009,44;401,89;1607,55
2015;September;4;2856,5;571,3;2285,2
2015;September;5;2062,06;412,41;1649,65
2015;September;6;2280,9;456,18;1824,72
2015;September;7;2836,49;567,3;2269,19
2015;September;8;1957,82;391,56;1566,26
2015;September;9;2208,95;441,79;1767,16
2015;September;10;1995,85;399,17;1596,68
2015;September;11;2660,57;532,11;2128,45
2015;September;12;2423,09;484,62;1938,47
2015;September;13;1885,5;377,1;1508,4
2015;September;14;2987,56;597,51;2390,05
2015;September;15;2653,82;530,76;2123,06
2015;September;16;3059,81;611,96;2447,85
2015;September;17;1613,49;322,7;1290,79
2015;September;18;2260,93;452,19;1808,74
2015;September;19;1964,47;392,89;1571,58
2015;September;20;2855,41;571,08;2284,33
2015;September;21;2128,29;425,66;1702,64
2015;September;22;2985,37;597,07;2388,3
2015;September;23;3051,36;610,27;2441,09
2015;September;24;1971,49;394,3;1577,19
2015;September;25;2008,24;401,65;1606,59
2015;September;26;2018,48;403,7;1614,79
2015;September;27;2364,9;472,98;1891,92
2015;September;28;1818,17;363,63;1454,54
2015;September;29;2441,45;488,29;1953,16
2015;September;30;3080,76;616,15;2464,61
2015;October;1;2797,18;559,44;2237,75
2015;October;2;2798,15;559,63;2238,52
2015;October;3;2691,46;538,29;2153,17
2015;October;4;2294,05;458,81;1835,24
2015;October;5;1920,12;384,02;1536,1
2015;October;6;2754,49;550,9;2203,59
2015;October;7;2525,85;505,17;2020,68
2015;October;8;2192,09;438,42;1753,68
2015;October;9;2748,6;549,72;2198,88
2015;October;10;1915,91;383,18;1532,73
2015;October;11;2770,9;554,18;2216,72
2015;October;12;2893,96;578,79;2315,17
2015;October;13;2363,42;472,68;1890,73
2015;October;14;2183,74;436,75;1746,99
2015;October;15;2084,79;416,96;1667,83
2015;October;16;2736,99;547,4;2189,6
2015;October;17;2303,45;460,69;1842,76
2015;October;18;1933,19;386,64;1546,55
2015;October;19;2424,99;485,0;1939,99
2015;October;20;3023,86;604,77;2419,09
2015;October;21;1660,98;332,2;1328,78
2015;October;22;1542,82;308,56;1234,25
2015;October;23;2471,9;494,38;1977,52
2015;October;24;2214,8;442,96;1771,84
2015;October;25;2908,07;581,61;2326,46
