Datum;Min. von temp_min;Max. von temp_max;Mittelwert von temp;Mittelwert von humidity;Mittelwert von wind_speed
2000-02-15;5,08;9,82;7,432916667;87,58333333;4,1425
2000-02-16;-0,19;7,58;4,034166667;82,75;5,6775
2000-02-17;-0,38;3,78;1,390416667;84,16666667;4,482608696
2000-02-18;-0,37;6,67;2,55875;85,91666667;4,415
2000-02-19;2,14;6,51;4,755;88,875;4,191666667
2000-02-20;-4,26;2,92;0,895652174;93;3,747916667
2000-02-21;-6,46;3,81;-0,675416667;84,625;1,566956522
2000-02-22;-3,77;6,51;1,536956522;78,16666667;1,428333333
2000-02-23;-1,2;7,23;3,290416667;76;1,850416667
2000-02-24;2,58;7,5;4,922916667;79,75;3,936666667
2000-02-25;1,44;9,54;6,827826087;86,66666667;4,5125
2000-02-26;-1,27;9,85;3,909166667;82,33333333;1,365652174
2000-02-27;-0,41;14,26;6,498695652;83,08333333;2,052173913
2000-02-28;4,23;18,42;11,40875;62,875;4,533333333
2000-02-29;6,39;9,84;7,83;86,75;4,71
2000-03-01;2,3;8,47;5,688695652;87,375;5,014782609
2000-03-02;0,99;5,42;3,24125;78,25;4,131666667
2000-03-03;3,97;8,38;6,160869565;72,66666667;7,452083333
2000-03-04;-0,2;5,38;2,870416667;80,75;5,17375
2000-03-05;-1,87;4,71;1,023043478;72,16666667;3,524166667
2000-03-06;-3,12;9,93;3,197391304;67,70833333;1,757083333
2000-03-07;-1,28;12,02;6,347916667;67,95833333;3,319583333
2000-03-08;7,93;12,11;9,54875;77,625;6,222916667
2000-03-09;9,96;12,99;11,19166667;75,79166667;6,91
2000-03-10;7,88;10,89;9,607391304;83,70833333;4,2475
2000-03-11;7,35;10,47;9,156666667;79,375;5,719166667
2000-03-12;2,76;10,42;6,892916667;76,875;1,545
2000-03-13;0,21;12,84;6,605;75,83333333;1,224583333
2000-03-14;5,21;11,67;8,734782609;83,75;4,5175
2000-03-15;1,81;6,77;4,408333333;71,95833333;4,344347826
2000-03-16;2,99;7,88;5,69125;91,625;5,726956522
2000-03-17;6,24;8,79;7,31826087;92,29166667;5,03
2000-03-18;5,03;7,39;6,289166667;94,95833333;3,199166667
2000-03-19;3,04;7,95;5,51125;85,75;2,962083333
2000-03-20;-1,46;9,69;4,720416667;70,58333333;2,327916667
2000-03-21;-0,12;14,58;7,107083333;70,54166667;1,689583333
2000-03-22;0,08;17,99;9,355833333;66;1,570416667
2000-03-23;2,65;16,99;10,63708333;67,41666667;1,366666667
2000-03-24;7,64;15,95;11,5225;74,33333333;2,380416667
2000-03-25;6,84;15,97;11,0725;66,16666667;1,89125
2000-03-26;4,7;9,71;7,385217391;81,41666667;2,583043478
2000-03-27;3,33;7,32;4,886666667;89,79166667;1,785833333
2000-03-28;2,31;7,19;4,767083333;85,75;2,654347826
2000-03-29;2,17;9,74;5,725;87,875;4,154166667
2000-03-30;1,53;4,74;2,948333333;93,66666667;6,14
2000-03-31;2,1;11,1;6,48625;76,20833333;3,09173913
2000-04-01;0,41;9,24;4,5225;85,16666667;2,105652174
2000-04-02;-0,09;15,3;8,143333333;68,83333333;2,608333333
2000-04-03;3,62;20,02;12,17916667;66,125;2,134166667
2000-04-04;6,19;16,14;11,62565217;72,91666667;2,164583333
2000-04-05;3,71;12,01;8,1225;89,91666667;2,345
2000-04-06;-0,55;8,29;3,982916667;66;3,28
2000-04-07;-2,38;12,4;5,827916667;62,70833333;2,345
2000-04-08;-1,28;14,76;8,295217391;60,45833333;1,835833333
2000-04-09;3,6;15,44;9,143043478;61,25;2,945
2000-04-10;2,23;15,22;9,1625;60,79166667;2,301363636
2000-04-11;5,89;13,72;9,729090909;74,125;1,716666667
2000-04-12;4,55;10,73;7,595833333;73,16666667;4,108333333
2000-04-13;5,55;12,06;8,627083333;72,58333333;4,765
2000-04-14;6,85;15,69;10,17666667;78,625;1,773333333
2000-04-15;6,23;11,59;9,08125;80,58333333;2,929583333
2000-04-16;3,11;16,22;10,65125;67,95833333;2,184166667
2000-04-17;8,3;12,57;10,45166667;76,04166667;3,001666667
2000-04-18;7,56;13,51;10,44625;78,45833333;1,66125
2000-04-19;8,28;16,29;11,90583333;75,625;1,853181818
2000-04-20;5,33;21,13;13,46208333;68,95833333;1,640869565
2000-04-21;8,59;23,13;16,44208333;65,5;2,002916667
2000-04-22;9,49;27,31;18,78458333;60,45833333;1,99625
2000-04-23;11,53;22,6;17,16916667;62,83333333;2,495416667
2000-04-24;7,23;13,27;10,48166667;89,45833333;2,926956522
2000-04-25;4,24;19,09;12,33714286;77,125;1,660833333
2000-04-26;7,24;25,31;16,77083333;69,375;2,003913043
2000-04-27;10,78;22,68;17,105;74,79166667;2,814583333
2000-04-28;11,63;25,14;18,40333333;69,79166667;2,0525
2000-04-29;11,49;16,37;13,9126087;84,58333333;2,312083333
2000-04-30;11,54;20,36;15,64958333;85,54166667;1,6225
2000-05-01;11,92;20,37;15,57208333;88,625;1,713333333
2000-05-02;11,59;22,42;16,54291667;84,16666667;2,179166667
2000-05-03;11,86;21,53;16,725;83,58333333;1,444583333
2000-05-04;11,51;21,62;16,16833333;84,375;1,17625
2000-05-05;9,91;23,53;16,11652174;81,20833333;2,11
2000-05-06;9,9;24,26;17,44608696;78,29166667;1,708333333
2000-05-07;10,3;24,43;17,89565217;73,33333333;1,322916667
2000-05-08;11,52;24,29;18,43791667;71,20833333;1,605833333
2000-05-09;11,69;26,14;19,35130435;67,70833333;1,390434783
2000-05-10;12,48;28,43;20,97347826;61,5;2,0275
2000-05-11;15,32;28,72;21,46791667;66,625;1,900416667
2000-05-12;14,51;18,66;16,6825;91;2,12375
2000-05-13;12,44;22,66;17,31521739;83,375;1,676666667
2000-05-14;10,19;25,52;18,2225;66,375;2,621666667
2000-05-15;9,63;27,62;19,415;58,625;1,820833333
2000-05-16;11,44;27,85;20,7525;64,79166667;1,2175
2000-05-17;13,52;22,98;18,33833333;73,875;3,034583333
2000-05-18;8,68;15,54;13,17375;80,79166667;2,515833333
2000-05-19;8,36;14,48;11,15791667;77,95833333;3,5325
2000-05-20;6,67;15,13;10,50208333;77,08333333;3,19125
2000-05-21;3,41;17,74;11,665;74,08333333;2,152083333
2000-05-22;8,06;12,83;10,30208333;82,95833333;4,400416667
2000-05-23;6,99;19,14;13,63708333;72,45833333;1,260416667
2000-05-24;7,81;24,02;16,51043478;67,08333333;1,662916667
2000-05-25;12,05;19,73;16,09869565;75,5;3,366666667
2000-05-26;9,32;23,04;16,91833333;73,58333333;2,09375
2000-05-27;8,68;17,89;13,72208333;80,54166667;3,30875
2000-05-28;6,79;17,64;12,61916667;78,91666667;3,85625
2000-05-29;7,49;14,8;11,15818182;73,45833333;3,204166667
2000-05-30;6,03;15,7;10,93666667;81,83333333;1,989130435
2000-05-31;7,54;16,21;12,45041667;84,875;2,124583333
2000-06-01;6,57;23,73;16,00083333;75,125;1,96125
2000-06-02;11,5;29,23;21,16791667;66,33333333;1,355833333
2000-06-03;14,67;30,79;22,78347826;67,91666667;0,9375
2000-06-04;16,97;28,01;22,5325;72,45833333;1,65875
2000-06-05;15,75;26,32;21,13478261;79,125;1,580416667
2000-06-06;12,38;16,79;14,48125;87,08333333;2,9525
2000-06-07;10,47;19,21;14,93625;68,58333333;3,024583333
2000-06-08;7,38;24,22;16,91208333;64,95833333;2,58
2000-06-09;12,47;30,64;22,51458333;63,79166667;2,320869565
2000-06-10;16,21;29,29;23,06;71,04166667;2,169130435
2000-06-11;16,72;23,77;19,40043478;84,75;3,180416667
2000-06-12;13,91;24,59;18,98916667;68,95833333;2,153333333
2000-06-13;12,93;29,05;21,72826087;65;2,140416667
2000-06-14;16,27;27,69;22,24083333;68,45833333;2,102916667
2000-06-15;15,11;21,2;19,05416667;73,66666667;4,07
2000-06-16;10,11;20,06;15,74333333;61,875;3,060833333
2000-06-17;7,3;22,45;15,6275;55,83333333;1,653333333
2000-06-18;7,99;29,21;19,6675;51,875;1,554583333
2000-06-19;11,94;33,28;24,13869565;53,70833333;1,5725
2000-06-20;15,58;34,34;26,04;53,625;1,044166667
2000-06-21;18,13;32,95;26,02541667;48,91666667;1,76875
2000-06-22;16,19;24,35;20,86083333;69,29166667;2,60625
2000-06-23;14,06;20,87;17,78;69,79166667;3,121818182
2000-06-24;10,36;16,27;13,97791667;79,33333333;2,772083333
2000-06-25;9,53;16,5;12,8175;82,20833333;2,318333333
2000-06-26;9,34;18,26;13,45625;65,875;2,773333333
2000-06-27;5,63;20,47;13,65652174;60,5;1,720416667
2000-06-28;7,85;21,38;15,445;56,58333333;2,011666667
2000-06-29;8,94;22,49;16,20416667;55,20833333;2,214583333
2000-06-30;9,31;24,58;18,07416667;60,16666667;2,023043478
2000-07-01;11,8;28,44;20,93454545;61,20833333;2,11625
2000-07-02;16,65;29,01;22,78583333;69,79166667;1,976666667
2000-07-03;16,76;25,07;20,61347826;75,20833333;2,652272727
2000-07-04;16,22;22,71;18,7475;78,04166667;3,43125
2000-07-05;15,16;21,61;18,23916667;67,875;4,118695652
2000-07-06;13,82;25,82;20,15125;60,91666667;2,004166667
2000-07-07;15,37;24,9;18,83708333;78,375;1,99
2000-07-08;11,14;16,46;13,79958333;86,625;3,691666667
2000-07-09;10,98;16,26;13,62913043;83,625;4,42125
2000-07-10;13,17;18,69;15,62125;81,58333333;4,41
2000-07-11;11,75;17,5;14,53478261;76,54166667;3,688333333
2000-07-12;9,75;16,66;12,88791667;75,08333333;3,705833333
2000-07-13;8,77;16,24;12,91666667;78,66666667;3,559583333
2000-07-14;10,79;14,94;13,17;92,375;4,030416667
2000-07-15;9,5;14,45;11,65291667;88,41666667;3,10173913
2000-07-16;9,67;15,88;12,31708333;87,54166667;2,072083333
2000-07-17;8,88;19,32;14,22916667;81,04166667;1,691666667
2000-07-18;8,56;21,49;15,75541667;75,83333333;1,73875
2000-07-19;10,7;18,62;14,88916667;76;2,787083333
2000-07-20;11,22;21,53;16,67375;72,16666667;1,401666667
2000-07-21;10,4;22,2;16,71782609;71,08333333;2,475217391
2000-07-22;9,71;23,66;17,31208333;70,45833333;1,569130435
2000-07-23;12,11;23,53;18,355;78,375;1,522916667
2000-07-24;16,26;25,09;20,10208333;80,25;2,702083333
2000-07-25;14,96;23,78;19,425;72,41666667;3,29875
2000-07-26;14,42;22,26;17,72875;82,04166667;3,797083333
2000-07-27;12,25;24,21;18,68333333;81,54166667;1,211666667
2000-07-28;13,9;18,33;16,52458333;86,66666667;2,9175
2000-07-29;13,25;19,82;15,91695652;86,5;3,04125
2000-07-30;13,87;21,55;16,89;83,25;2,457916667
2000-07-31;11,2;25,05;18,705;71,25;1,402916667
2000-08-01;11,55;29,9;21,89625;64,16666667;1,310833333
2000-08-02;14,92;21,15;18,38521739;83,54166667;2,205833333
2000-08-03;11,7;21,84;17,06083333;81,79166667;1,587083333
2000-08-04;11,65;21,45;17,11;76,375;1,532916667
2000-08-05;12,74;21,38;16,90166667;86,91666667;2,07125
2000-08-06;15,03;22,67;18,64458333;76;3,292083333
2000-08-07;13,63;21,69;17,47;84,45833333;2,174166667
2000-08-08;14,59;22,78;18,13666667;84,95833333;1,949583333
2000-08-09;13,09;25,51;19,36541667;77,75;0,85375
2000-08-10;13,52;27,7;21,13;72,04166667;1,880416667
2000-08-11;14,95;28,25;21,25291667;70,875;1,567083333
2000-08-12;14,83;29,66;22,25391304;62,41666667;1,389166667
2000-08-13;14,88;29,63;22,94833333;62,58333333;1,452083333
2000-08-14;15,04;30,83;23,21913043;66,625;1,29
2000-08-15;17,45;27,36;22,19173913;76,875;1,52625
2000-08-16;17,43;28,88;22,745;67,66666667;1,230416667
2000-08-17;16,46;28,59;22,54416667;70,125;2,35375
2000-08-18;17,49;26,45;20,84434783;82,70833333;2,160416667
2000-08-19;17,56;29,83;23,62652174;66,54166667;1,968333333
2000-08-20;18,14;32,2;24,46875;65,58333333;1,956666667
2000-08-21;15,43;22,09;18,67666667;87,16666667;2,2625
2000-08-22;13,66;22,64;17,66916667;79,16666667;1,99625
2000-08-23;10,83;24,98;18,5075;73,375;1,985
2000-08-24;13,35;26,73;20,01791667;69,625;1,78875
2000-08-25;13,79;26,33;19,63708333;66,625;1,413333333
2000-08-26;13,04;27,73;20,1925;64,375;3,439166667
2000-08-27;13,95;19,64;17,1;84,08333333;1,985652174
2000-08-28;12,8;21,96;17,15083333;79,16666667;1,470869565
2000-08-29;12,63;23,17;17,51833333;71,41666667;1,215
2000-08-30;12,79;23,72;18,49666667;73,375;1,085
2000-08-31;14,28;20,82;17,24916667;88;1,234782609
2000-09-01;13,71;22,73;17,79875;80,08333333;2,39125
2000-09-02;12,24;17,68;14,51375;80,70833333;4,968333333
2000-09-03;11,08;16,44;13,54208333;86,5;3,556086957
2000-09-04;9,51;15,5;12,23625;89,375;2,15875
2000-09-05;9,7;16,52;12,80416667;82;1,89625
2000-09-06;7,39;16,55;12,84583333;83,5;2,827916667
2000-09-07;11,03;16,1;13,67416667;84;3,887083333
2000-09-08;8,67;22,69;15,38;76,25;1,300416667
2000-09-09;8,89;24,37;17,32782609;75;1,387826087
2000-09-10;10,74;26,18;18,75782609;75,33333333;1,43625
2000-09-11;12,37;26,23;19,22375;77,58333333;1,31875
2000-09-12;11,6;27,33;19,6175;73,79166667;1,456666667
2000-09-13;12,27;21,29;17,38833333;87,45833333;2,155
2000-09-14;11,35;22,73;16,81333333;85,04166667;1,235416667
2000-09-15;14,39;26,34;19,92833333;79,45833333;1,554583333
2000-09-16;12,89;19,46;15,5273913;77,79166667;5,038695652
2000-09-17;12,24;13,96;13,0525;93,625;3,863478261
2000-09-18;11,53;18,76;14,7;85,25;1,6625
2000-09-19;9,38;20,35;14,485;86,16666667;3,347391304
2000-09-20;9,83;18,12;14,19869565;89,20833333;2,039130435
2000-09-21;11,37;15,55;13,05956522;92,58333333;4,97826087
2000-09-22;9,89;19,3;13,90208333;83,375;1,674166667
2000-09-23;8,73;16,91;12,35958333;86,20833333;2,847916667
2000-09-24;7,1;20,57;12,84083333;86,29166667;2,103333333
2000-09-25;9,35;18,2;13,99291667;93,04166667;1,419583333
2000-09-26;12,43;22,42;16,43958333;86,75;1,85875
2000-09-27;11,36;23,19;16,72;86,41666667;1,355833333
2000-09-28;13,66;25,19;18,45875;80,875;2,489583333
2000-09-29;12,55;25,07;17,77583333;82,375;2,267083333
2000-09-30;12,49;17,23;14,90708333;91,29166667;2,195416667
2000-10-01;12,23;16,64;14,22083333;88,83333333;2,184347826
2000-10-02;10,14;17,09;13,51166667;87,04166667;1,791666667
2000-10-03;9,23;15,93;12,64958333;86;1,5575
2000-10-04;11,3;16,7;13,62708333;86,70833333;1,116666667
2000-10-05;9,15;15,49;12,85875;90,16666667;1,174583333
2000-10-06;6,08;12,54;9,972083333;85,04166667;2,78125
2000-10-07;3,5;11,22;7,417391304;89,91666667;1,357916667
2000-10-08;2,15;14,08;7,739166667;83,83333333;2,157083333
2000-10-09;6,51;13,01;9,659583333;88,04166667;3,195652174
2000-10-10;6,07;12,3;9,4675;76,54166667;4,749166667
2000-10-11;6,54;11,69;9,79;84,5;4,598333333
2000-10-12;8,78;14,93;11,60083333;86,45833333;2,64125
2000-10-13;9,31;14,06;11,35;90,79166667;1,489583333
2000-10-14;8,75;14,65;11,41916667;94,95833333;1,301666667
2000-10-15;9,56;20,11;13,9075;89,70833333;1,612916667
2000-10-16;9,77;19,43;14,13375;82,79166667;1,951666667
2000-10-17;7,87;13,45;10,82375;88,375;1,651666667
2000-10-18;6,21;11,73;9,2325;93,75;1,061666667
2000-10-19;8,29;13,06;11,02833333;94,70833333;1,543043478
2000-10-20;8,94;15,91;12,43625;91,95833333;2,037916667
2000-10-21;7,26;17,29;11,29833333;92,91666667;1,504583333
2000-10-22;7,03;16,19;10,44217391;93,25;1,606521739
2000-10-23;8,23;18,37;11,84166667;88,04166667;2,10375
2000-10-24;10,16;16,74;13,20565217;88,45833333;3,000434783
2000-10-25;9,79;18,22;14,54625;81,33333333;3,660416667
2000-10-26;8,8;15,64;11,88333333;84,33333333;3,45125
2000-10-27;7,88;12,95;10,41666667;81,83333333;3,027916667
2000-10-28;8,54;17,64;12,02541667;76,83333333;2,201666667
2000-10-29;8,65;13,68;11,35708333;73,45833333;4,4025
2000-10-30;7,58;16,85;12,62208333;64,58333333;4,8525
2000-10-31;7,5;13,84;9,294166667;86,5;3,819565217
2000-11-01;6,58;13,03;9,960833333;73,08333333;4,727916667
2000-11-02;7,47;15,54;11,59041667;68,20833333;3,666666667
2000-11-03;7,21;11,61;9,292916667;86,91666667;2,05375
2000-11-04;4,71;10,1;7,247083333;82,375;2,57375
2000-11-05;4,18;11,23;6,927083333;80,58333333;2,855454545
2000-11-06;4,1;9,3;7,1475;80,95833333;3,523333333
2000-11-07;4,67;12,41;8,852083333;75,16666667;3,854782609
2000-11-08;6,81;12,46;9,165652174;67,04166667;4,29625
2000-11-09;5,35;11,37;8,34;77,58333333;3,81375
2000-11-10;2,15;9,81;5,7625;84,875;2,63625
2000-11-11;2,41;11,32;5,80875;80,83333333;2,576818182
2000-11-12;1,99;11,62;7,83375;70,91666667;3,470434783
2000-11-13;7,6;13,02;9,887916667;81;1,694782609
2000-11-14;5,68;9,69;8,052916667;92,95833333;1,422173913
2000-11-15;4,27;10,58;6,866666667;85,41666667;2,78125
2000-11-16;0,87;10,26;5,21875;85,125;2,009166667
2000-11-17;2,58;6,08;4,459583333;93,66666667;1,96
2000-11-18;1,13;7,39;3,750434783;86,95833333;2,725217391
2000-11-19;-0,56;9,03;4,5475;80,66666667;3,586086957
2000-11-20;3,16;8,47;6,169583333;86,45833333;2,74
2000-11-21;2,36;8,57;4,879583333;84,95833333;2,626956522
2000-11-22;5,33;12,06;8,835833333;79,54166667;3,780833333
2000-11-23;5,6;9,57;7,932083333;92,125;2,392916667
2000-11-24;3,99;8,52;6,917916667;89,75;2,092608696
2000-11-25;2,6;8,11;4,704583333;90,83333333;2,123913043
2000-11-26;2,84;8,19;6,291666667;87,16666667;4,7275
2000-11-27;3,17;8,7;5,870833333;85,20833333;2,565416667
2000-11-28;4,32;13,08;8,673636364;90,41666667;3,053333333
2000-11-29;3,63;12,92;7,729166667;92,5;2,195416667
2000-11-30;4,74;14,02;8,5275;90,625;1,955416667
2000-12-01;2,55;9,73;5,224166667;95,20833333;1,937083333
2000-12-02;3,8;11,55;8,03125;89,58333333;2,012083333
2000-12-03;3,3;10,19;7,094347826;87,79166667;2,08125
2000-12-04;3,11;10,56;6,592916667;90,16666667;2,34125
2000-12-05;3,63;11,82;7,567916667;89,25;2,524166667
2000-12-06;2,27;9,12;5,666086957;94,58333333;2,39
2000-12-07;3,73;10,3;7,344166667;87,20833333;3,0825
2000-12-08;8,48;12,56;10,68318182;79,58333333;2,956086957
2000-12-09;5,87;12,92;8,579583333;84,58333333;2,75
2000-12-10;5,62;10,89;8,500833333;83,08333333;5,490869565
2000-12-11;9,01;15,36;11,34695652;67,25;4,392916667
2000-12-12;10,23;15,9;12,79130435;68,875;3,537916667
2000-12-13;10,37;14,52;12,31208333;59,66666667;5,893333333
2000-12-14;7,57;10,98;9,354583333;73,04166667;5,094166667
2000-12-15;3,41;8,53;5,414347826;85,20833333;5,08875
2000-12-16;2,23;4,1;3,244347826;85,33333333;4,489583333
2000-12-17;2,12;5,26;3,386666667;91,70833333;2,33875
2000-12-18;1,15;6,42;3,699130435;90,33333333;1,825416667
2000-12-19;3,05;7,81;6,01625;91,54166667;2,067826087
2000-12-20;-0,94;4,55;1,795416667;82,25;4,254166667
2000-12-21;-3,27;0,87;-1,36;84,75;2,942916667
2000-12-22;-6,36;-0,01;-3,245416667;85,70833333;2,564583333
2000-12-23;-8,52;3,89;-3,135;92,25;1,713333333
2000-12-24;-7,24;2,56;-1,861666667;89,875;1,695416667
2000-12-25;-0,51;4,31;1,874166667;95,08333333;1,015
2000-12-26;0,08;8,47;3,383333333;93,58333333;1,954583333
2000-12-27;-0,17;9,18;3,17625;90,70833333;2,319166667
2000-12-28;-1,88;5,04;1,89826087;87,54166667;2,51875
2000-12-29;-2,54;2,19;-0,110416667;92,91666667;1,58875
2000-12-30;-1,92;1,08;-0,409565217;90,20833333;3,142083333
2000-12-31;-4,96;1,85;-0,732083333;88,125;2,917916667
2001-01-01;-3,98;4,05;-0,055217391;80,625;2,879583333
2001-01-02;1,7;9,06;5,789166667;88,125;4,064583333
2001-01-03;1,86;8,01;5,714583333;83,79166667;3,902173913
2001-01-04;1,35;8,09;4,836666667;87,625;4,174166667
2001-01-05;5,36;12,13;8,089166667;80,5;5,746666667
2001-01-06;4,25;12,15;8,34125;87,45833333;4,123333333
2001-01-07;3,25;7,49;4,723478261;91,04166667;1,721304348
2001-01-08;1,28;5,33;3,61125;96,66666667;1,362083333
2001-01-09;-0,67;5,54;1,605217391;87,66666667;1,918333333
2001-01-10;-0,36;6,44;3,085833333;90,20833333;2,59
2001-01-11;3,08;7,76;5,573043478;94,625;1,9
2001-01-12;-1,14;4,68;1,432916667;86,08333333;3,51
2001-01-13;-3,2;1,31;-1,125454545;72,20833333;4,916086957
2001-01-14;-4,13;1,53;-1,970833333;66,41666667;4,783333333
2001-01-15;-8,09;0,65;-3,33875;71,375;2,76173913
2001-01-16;-9,12;0,95;-4,514583333;88,25;1,497916667
2001-01-17;-5,44;4,71;-1,504583333;87,29166667;1,53375
2001-01-18;-3,59;3,37;-0,84173913;85,41666667;1,563333333
2001-01-19;-4,89;2,38;-1,441666667;91,66666667;1,070869565
2001-01-20;-1,61;4,36;0,69875;92,95833333;1,582916667
2001-01-21;-3,19;2,83;-0,1375;85,625;2,0225
2001-01-22;0,29;8,95;3,885416667;89,04166667;3,034583333
2001-01-23;2,05;10,12;6,537826087;82,83333333;4,012173913
2001-01-24;4,56;10,34;8,169583333;79,91666667;3,905
2001-01-25;1,74;10,94;5,68625;89,125;3,021363636
2001-01-26;1,93;8,27;4,709583333;84,58333333;2,84875
2001-01-27;1,8;5,77;3,838333333;78,33333333;5,70625
2001-01-28;-1,2;7,69;2,695416667;84,75;1,727916667
2001-01-29;-2,64;4,07;0,94875;92,08333333;1,756666667
2001-01-30;-0,45;4,07;1,591666667;86,75;1,567916667
2001-01-31;-1,89;3,8;0,565217391;85,875;1,660833333
2001-02-01;-2,34;1,61;-0,455217391;86,54166667;2,22375
2001-02-02;-2,52;2,11;-0,594583333;85,25;2,6125
2001-02-03;-1,58;6,28;2,9;90,66666667;4,7525
2001-02-04;4,13;10,88;7,59173913;89,75;4,065833333
2001-02-05;6,8;10,59;9,125833333;78,83333333;6,690833333
2001-02-06;8,57;17,38;11,92818182;66,20833333;4,180833333
2001-02-07;7,26;16,8;11,44416667;62,83333333;2,890833333
2001-02-08;6,02;13,77;10,14208333;68,375;2,518695652
2001-02-09;3,2;7,9;6,249130435;88,91666667;2,970833333
2001-02-10;-0,8;8,83;3,321666667;87,83333333;1,04625
2001-02-11;-0,65;12,87;5,576956522;76,29166667;1,972916667
2001-02-12;1,84;14,64;7,937083333;69,79166667;2,41125
2001-02-13;2,32;9,49;6,724583333;85,04166667;3,101666667
2001-02-14;0,85;8,47;3,916666667;79,45833333;3,209166667
2001-02-15;-0,51;11,58;4,763043478;77,5;2,185
2001-02-16;-1,39;11,07;4,762083333;82,625;2,074166667
2001-02-17;1,52;6,76;2,956666667;94,58333333;2,892916667
2001-02-18;0,45;5,95;2,40875;86,41666667;2,15875
2001-02-19;0,36;6,73;3,280833333;83,45833333;1,690833333
2001-02-20;1,54;5,38;3,335454545;83,83333333;3,675416667
2001-02-21;2,03;6,44;4;80,54166667;4,612083333
2001-02-22;3,76;6,63;4,901304348;85,79166667;5,911304348
2001-02-23;-2,46;4,68;2,32125;91,70833333;3,938333333
2001-02-24;-2,68;2,31;-0,37375;87;1,163913043
2001-02-25;-8,2;1,88;-2,202083333;79,20833333;1,999583333
2001-02-26;-8,73;1,55;-2,71375;82,79166667;3
2001-02-27;-6,86;6,36;-0,154166667;68,04166667;3,073913043
2001-02-28;-2,39;5,55;1,249545455;70,08333333;1,690833333
2001-03-01;-0,72;4,92;1,741666667;82,66666667;3,16875
2001-03-02;-0,32;6,51;2,732916667;73,70833333;2,775217391
2001-03-03;0,2;3,32;1,633333333;94,75;1,726666667
2001-03-04;2,15;8,87;6,142916667;83,25;4,23375
2001-03-05;0,83;6,27;4,062083333;86,75;2,759583333
2001-03-06;-1,34;8,61;3,394583333;83,625;2,78125
2001-03-07;0,64;7,96;4,42;93,70833333;2,1925
2001-03-08;3,79;13,04;8,29625;90,45833333;2,006666667
2001-03-09;7,63;11,92;9,598333333;82;3,210869565
2001-03-10;7,29;12,08;9,626086957;86,41666667;3,76875
2001-03-11;9,77;13,14;11,47541667;90,125;4,121666667
2001-03-12;8,2;14,1;11,21833333;90,54166667;3,835833333
