Zeilenbeschriftungen;Min. von temp_min;Max. von temp_max;Mittelwert von temp;Mittelwert von humidity;Mittelwert von wind_speed
2000-02-19;0,57;3,52;1,964166667;93,54166667;2,465217391
2000-02-20;-1,06;3,03;0,895217391;86,91666667;2,8025
2000-02-21;-3,09;1,9;-0,529166667;86,54166667;2,03
2000-02-22;-3,88;1,58;-0,730833333;92,29166667;2,1075
2000-02-23;-0,8;4,36;1,7275;93,29166667;2,078333333
2000-02-24;-1,35;6,46;2,773043478;94,20833333;4,165217391
2000-02-25;1,7;4,73;3,173333333;90,375;4,109565217
2000-02-26;3,57;6,88;5,005;81,79166667;4,145416667
2000-02-27;0,9;9,84;5,469583333;75,25;4,047083333
2000-02-28;6,17;16,71;10,19958333;68,20833333;6,571666667
2000-02-29;3,76;9,55;6,61;80,16666667;5,0875
2000-03-01;3,47;7,77;6,281666667;79,91666667;5,647826087
2000-03-02;2,24;5,91;3,954782609;75,20833333;5,665833333
2000-03-03;1,93;7,92;4,829130435;85,5;8,08375
2000-03-04;-0,45;3,43;1,710869565;82,54166667;6,505
2000-03-05;-0,88;3,12;0,981666667;81,70833333;5,914166667
2000-03-06;0,51;8,94;5,053333333;75,33333333;6,235416667
2000-03-07;6,56;11,44;8,704166667;79,75;7,790833333
2000-03-08;8,55;11,58;9,934782609;92,875;7,425416667
2000-03-09;2,48;12,31;8,833333333;88,20833333;7,20125
2000-03-10;-0,65;5,9;2,705;74,41666667;3,797083333
2000-03-11;1,5;10,34;5,39875;89,83333333;6,154166667
2000-03-12;-0,63;4,1;2,649583333;79,95833333;2,096666667
2000-03-13;2,99;10,25;6,482173913;85,25;3,08375
2000-03-14;3,09;9,7;7,373333333;92,70833333;5,194583333
2000-03-15;1,58;5,46;3,104583333;70,625;6,607916667
2000-03-16;0,73;5,46;3,009545455;84,95833333;3,5425
2000-03-17;0,05;5,79;2,428333333;78,83333333;3,524583333
2000-03-18;-1,72;7,39;2,659565217;78,08333333;1,814583333
2000-03-19;-0,23;9,27;4,144166667;73,5;3,642608696
2000-03-20;-0,39;6,92;4,406666667;87,625;3,312083333
2000-03-21;2,6;9,09;6,034583333;88,625;2,868333333
2000-03-22;1,66;12,64;6,614583333;83,25;2,04
2000-03-23;1,89;12,54;6,447391304;79,625;1,722608696
2000-03-24;0,3;10,05;5,595833333;66,16666667;4,24875
2000-03-25;4,44;11,79;7,894583333;82,20833333;3,1975
2000-03-26;5,41;13,7;8,701666667;82,54166667;2,71125
2000-03-27;3,57;6,12;4,931666667;93,66666667;3,425833333
2000-03-28;3,14;6,99;5,158333333;97,79166667;3,055416667
2000-03-29;4,47;7,71;6,185;95,08333333;4,645833333
2000-03-30;5,52;7,27;6,429166667;87,45833333;5,185
2000-03-31;3,7;5,93;5,2;94,375;3,0475
2000-04-01;2,79;9,78;6,151666667;84,29166667;2,215416667
2000-04-02;3,91;12,51;8,03875;76,95833333;2,309583333
2000-04-03;3,41;16,75;10,22375;68,70833333;3,846086957
2000-04-04;4,92;11,41;8,24625;88,33333333;2,507727273
2000-04-05;1,14;7,38;4,689583333;80,58333333;4,249583333
2000-04-06;-0,93;10,24;4,918333333;64,5;4,269545455
2000-04-07;1,91;9,36;5,07875;85,66666667;3,923478261
2000-04-08;-0,42;8,67;5,190833333;85,125;2,42625
2000-04-09;0,48;8,41;4,24875;68,16666667;3,350833333
2000-04-10;-1,11;10,83;5,056666667;69,91666667;2,829583333
2000-04-11;-0,56;11,85;6,016086957;77,08333333;1,586956522
2000-04-12;0,66;10,84;6,129166667;90,29166667;3,055833333
2000-04-13;1,76;12,4;7,0475;72,875;4,885833333
2000-04-14;3,96;10,41;7,950909091;79;4,006956522
2000-04-15;2,05;19,57;10,25583333;83,75;3,116666667
2000-04-16;6,49;14,55;9,991666667;70,375;3,805416667
2000-04-17;6,13;20,96;13,3275;64,58333333;3,906666667
2000-04-18;9,73;17,57;13,12958333;69,41666667;2,15625
2000-04-19;9,34;19,98;13,83217391;79,79166667;3,317083333
2000-04-20;8,05;19,22;13,44;77,91666667;1,56
2000-04-21;8,44;23,88;16,67041667;71,95833333;2,544583333
2000-04-22;11,39;24,92;18,02958333;70,16666667;3,18125
2000-04-23;15,41;28,66;21,35125;56,33333333;3,383333333
2000-04-24;10,63;22,81;16,84333333;72,33333333;3,9275
2000-04-25;9,34;13,4;11,24625;84,70833333;2,215833333
2000-04-26;8,88;21,48;14,56708333;76,75;3,108333333
2000-04-27;11,79;24,86;18,75041667;67,5;4,002916667
2000-04-28;15,41;25,23;20,12541667;61,625;5,890833333
2000-04-29;15,88;26,98;21,37956522;56,29166667;4,72625
2000-04-30;13,45;25,84;19,53583333;66,5;2,3025
2000-05-01;12,62;25,36;18,69791667;71,5;2,3575
2000-05-02;10,86;21,88;16,57869565;58,25;4,314782609
2000-05-03;7,33;20,32;13,745;49,04166667;3,222083333
2000-05-04;6,58;22,2;14,81875;52,375;2,639166667
2000-05-05;7,38;23,53;15,995;56,20833333;3,006666667
2000-05-06;8,19;24,76;16,60666667;60,58333333;3,53173913
2000-05-07;10,82;25,5;18,07291667;54,125;4,262083333
2000-05-08;12,34;26,62;19,39458333;52,95833333;4,0475
2000-05-09;12,29;24,77;18,29416667;64,20833333;2,363333333
2000-05-10;13,16;25,46;19,235;74,41666667;1,515416667
2000-05-11;12,46;26,19;19,23625;60,375;2,593478261
2000-05-12;8,93;19,28;13,95833333;52,54166667;4,66125
2000-05-13;6,1;20,71;13,45291667;53,70833333;2,495652174
2000-05-14;6,69;25,5;17,56166667;53,875;1,189130435
2000-05-15;9,72;28,5;20,01375;54,58333333;1,638333333
2000-05-16;13,42;29,93;21,83541667;51,125;1,755909091
2000-05-17;13,29;30,46;19,84333333;65,75;3,481304348
2000-05-18;9,72;18,94;14,63666667;79;2,133478261
2000-05-19;7,36;15,57;11,84791667;79,58333333;2,230833333
2000-05-20;8,43;12,97;10,735;85,20833333;2,52625
2000-05-21;7,61;16,46;12,365;73,375;2,664347826
2000-05-22;9,2;14,89;12,04304348;88,54166667;1,789583333
2000-05-23;7,24;18,47;13,9725;73,83333333;2,285833333
2000-05-24;11,14;20,84;16,115;71,08333333;2,84625
2000-05-25;11,14;21,86;16,74791667;74,25;4,886956522
2000-05-26;8,58;19,47;14,53583333;63,91666667;3,617083333
2000-05-27;8,93;21,86;14,94695652;73,875;4,1625
2000-05-28;7,8;19,5;14,1325;70,125;4,736666667
2000-05-29;8,16;15,66;12,03333333;64,58333333;5,225833333
2000-05-30;6,9;14,87;10,98291667;76,70833333;2,951666667
2000-05-31;5,86;17,89;12,745;63,66666667;2,105416667
2000-06-01;7,34;21,62;15,9225;60,66666667;2,960833333
2000-06-02;15,31;28,85;21,88125;56,41666667;3,570833333
2000-06-03;13,44;25,45;19,48166667;67,25;2,432916667
2000-06-04;13,02;27,64;20,05458333;75,83333333;2,814583333
2000-06-05;13,56;22,91;18,26652174;81,66666667;2,953913043
2000-06-06;12,17;17,01;15,14625;83,08333333;4,8525
2000-06-07;10,02;17,18;13,39791667;71,375;5,170434783
2000-06-08;8,12;20,7;14,44833333;64,45833333;3,285416667
2000-06-09;9,77;27,56;19,67916667;51,33333333;3,919583333
2000-06-10;15,39;32,6;24,67875;51,54166667;3,692173913
2000-06-11;15,02;28,53;22,10333333;72,29166667;3,115416667
2000-06-12;14,21;22,88;18,11217391;65,20833333;3,443333333
2000-06-13;12,51;29,97;22,0525;60,125;2,860833333
2000-06-14;14,87;23,64;18,87521739;71,83333333;2,407083333
2000-06-15;11,78;17,34;15,48818182;79,625;3,949583333
2000-06-16;8,67;16,24;12,56958333;63,29166667;6,097916667
2000-06-17;7,27;20,29;13,76291667;60,125;3,53875
2000-06-18;8,57;25,18;17,56375;53,95833333;1,79875
2000-06-19;13,6;32,35;23,78666667;45,875;1,946666667
2000-06-20;16,98;35,78;27,52086957;41,20833333;2,38375
2000-06-21;18,44;36,36;28,16083333;41,91666667;2,182083333
2000-06-22;18,33;29,9;22,96958333;61,83333333;2,802916667
2000-06-23;14,73;23,45;19,28041667;61,04166667;3,262608696
2000-06-24;11,67;19,9;15,13333333;77,70833333;3,2075
2000-06-25;11,29;17,12;14,045;76,375;5,087083333
2000-06-26;10,83;15,48;12,76333333;67,83333333;6,245833333
2000-06-27;10,04;15,3;12,44458333;65,125;6,40125
2000-06-28;9,25;14,73;11,86875;69,66666667;4,615833333
2000-06-29;10,27;15,03;12,2425;73,54166667;4,333333333
2000-06-30;10,23;15,99;12,93;75,66666667;4,615217391
2000-07-01;9,22;22,95;16,2725;62,83333333;4,31125
2000-07-02;12,92;22,26;17,20375;68,5;1,761666667
2000-07-03;13,52;25,34;19,54875;67,41666667;2,9075
2000-07-04;15,61;21,99;18,31125;83,66666667;1,88826087
2000-07-05;14,73;20,15;17,20375;85,875;4,46125
2000-07-06;12,74;20,46;16,57;84,66666667;3,579583333
2000-07-07;9,43;20,82;15,48083333;71;2,035833333
2000-07-08;11,05;16,75;14,11083333;71,66666667;3,703478261
2000-07-09;11,33;19,77;15,42291667;70,45833333;3,492173913
2000-07-10;13,51;21,15;16,41541667;75,58333333;4,362083333
2000-07-11;13,66;21,33;17,55875;67,375;3,976818182
2000-07-12;12,37;16,43;14,29208333;77,16666667;5,9625
2000-07-13;9,8;19,59;14,76347826;67,41666667;4,854583333
2000-07-14;12,66;18,91;14,67416667;87,625;2,58
2000-07-15;10,97;17,8;14,19913043;77,41666667;3,27125
2000-07-16;8,76;20,57;15,95416667;71,33333333;2,197916667
2000-07-17;12,84;20,07;16,49217391;73,45833333;3,592083333
2000-07-18;12,74;15,6;14,41291667;76,45833333;4,52
2000-07-19;11,78;15,58;13,60625;81,70833333;4,853181818
2000-07-20;12,89;18,78;15,4425;73,125;4,730833333
2000-07-21;12,29;18,1;14,72826087;84,5;4,0775
2000-07-22;13,39;18,52;15,58833333;90,70833333;2,784782609
2000-07-23;11,88;22,39;17,07625;79,33333333;1,340833333
2000-07-24;11,18;24,93;19,33043478;71,08333333;1,684347826
2000-07-25;16,08;24,7;18,98041667;79,20833333;2,444782609
2000-07-26;15,56;22,25;18,48083333;84,125;3,0525
2000-07-27;15,38;23,32;18,805;76,33333333;2,924166667
2000-07-28;15,25;20,67;17,52347826;85,5;2,325833333
2000-07-29;14,54;18,25;16,08041667;93,41666667;3,42125
2000-07-30;14,07;19,33;16,31333333;85,75;3,23125
2000-07-31;11,4;19,86;16,31416667;77,875;3,107083333
2000-08-01;10,17;26,44;19,07375;68,54166667;2,259166667
2000-08-02;15,83;23,5;18,97826087;78,45833333;2,885833333
2000-08-03;13,17;23,54;18,26833333;77,20833333;2,661818182
2000-08-04;13,44;22,93;18,01708333;76,5;1,635833333
2000-08-05;12,2;24,21;18,38916667;75,25;1,801666667
2000-08-06;11,66;24,03;18,2925;72,41666667;2,180416667
2000-08-07;12,45;20,86;16,91333333;70,33333333;3,674583333
2000-08-08;10,42;18,34;14,34458333;77,75;2,861304348
2000-08-09;9,71;21,01;14,78173913;73,20833333;3,045416667
2000-08-10;9,87;24,94;17,37833333;78,95833333;2,409583333
2000-08-11;15,2;21,21;18,24875;80,625;3,415416667
2000-08-12;13,59;24,47;18,67869565;70,41666667;1,376086957
2000-08-13;13,3;28,67;20,7925;64,20833333;1,74625
2000-08-14;14,77;32,17;23,07708333;55,54166667;1,819583333
2000-08-15;16,81;30,31;22,475;70,125;2,415416667
2000-08-16;16,39;26,05;20,6525;73,29166667;2,911666667
2000-08-17;15,38;25,72;20,09458333;76,70833333;1,95125
2000-08-18;15,94;25,17;19,76916667;68,33333333;2,196666667
2000-08-19;17,22;26,12;20,4425;79,45833333;2,9475
2000-08-20;16,87;25,46;20,29291667;81,95833333;2,915416667
2000-08-21;13,49;22,77;18,01916667;85,70833333;3,96125
2000-08-22;12,93;21,29;16,3125;74,20833333;2,43826087
2000-08-23;11,25;20,94;15,6875;72,54166667;1,831666667
2000-08-24;8,75;21,84;15,78791667;65,41666667;3,73
2000-08-25;11,35;20,76;16,62043478;70,66666667;4,27375
2000-08-26;7,54;22,76;16,18565217;66,66666667;3,441666667
2000-08-27;12,55;24,58;18,41708333;58,08333333;5,3925
2000-08-28;14,48;18,92;16,63333333;82,58333333;2,484166667
2000-08-29;11,15;23,2;16,87458333;77,625;1,411666667
2000-08-30;11,81;22,34;16,34541667;72,95833333;1,689166667
2000-08-31;11,63;22,09;16,38666667;71,95833333;1,581666667
2000-09-01;10,88;23,38;17,03083333;78,58333333;1,966666667
2000-09-02;13,12;18,51;15,33333333;86,875;3,76625
2000-09-03;12,71;15,5;13,78291667;93,75;5,16375
2000-09-04;8,87;15,42;12,17666667;87,08333333;3,907272727
2000-09-05;8,69;15,32;12;86,70833333;2,787391304
2000-09-06;9,09;18,71;13,79458333;80,625;3,094583333
2000-09-07;11,19;17,96;14,02041667;89,95833333;2,09125
2000-09-08;10,94;18,29;15,20666667;86,33333333;3,435
2000-09-09;16,39;22,22;18,64625;83,875;2,785416667
2000-09-10;14,14;21,41;17,28;85,91666667;1,763043478
2000-09-11;10,4;19,08;15,65666667;86,91666667;2,295416667
2000-09-12;9,22;22,61;16,08041667;80,875;2,835416667
2000-09-13;14,82;21,14;17,40583333;83;3,195833333
2000-09-14;13,39;18,18;15,38565217;87;2,808333333
2000-09-15;12,14;18,94;14,85041667;76,20833333;4,126666667
2000-09-16;10,5;15,56;12,91041667;86,875;3,495416667
2000-09-17;9,91;13,88;11,385;93,875;2,768333333
2000-09-18;6,79;14,96;10,59416667;77,41666667;4,186521739
2000-09-19;5,52;12,21;8,688695652;80,20833333;4,572608696
2000-09-20;7,86;12,15;9,882173913;77,66666667;5,737083333
2000-09-21;7,75;16,99;11,89041667;77,20833333;5,723478261
2000-09-22;7,3;17,44;12,18304348;77,45833333;2,852083333
2000-09-23;7,16;18,21;11,66391304;75,41666667;3,02375
2000-09-24;5,39;16,24;10,19333333;70,29166667;4,105833333
2000-09-25;4,5;18,07;11,8075;76,375;2,920416667
2000-09-26;11,15;17,99;13,97956522;85,66666667;2,302916667
2000-09-27;10,64;23,72;16,52083333;81,91666667;2,799583333
2000-09-28;13,46;22,98;17,81791667;83,08333333;3,265416667
2000-09-29;12,84;23,44;17,51375;67,79166667;4,264583333
2000-09-30;11,73;23,33;16,795;65,91666667;4,800416667
2000-10-01;11,32;21,98;16,34291667;77,95833333;3,040416667
2000-10-02;10,97;18,13;14,60666667;90,45833333;2,90125
2000-10-03;7,88;19,51;13,51625;85,08333333;1,704166667
2000-10-04;11,01;18,73;14,82083333;87,41666667;1,662083333
2000-10-05;12,75;18,64;15,21291667;89,95833333;0,935652174
2000-10-06;9,77;14,48;12,06833333;94,91666667;2,578333333
2000-10-07;9,18;11,17;10,11458333;96;2,845217391
2000-10-08;8,28;12,06;9,687916667;91,33333333;2,61826087
2000-10-09;8,12;11,07;9,576956522;93,79166667;2,424782609
2000-10-10;7,13;11,45;9,326956522;89,29166667;4,826666667
2000-10-11;6,38;15,06;10,99416667;78,91666667;4,857083333
2000-10-12;9,6;16,18;12,1075;87,16666667;2,744166667
2000-10-13;9,6;15,67;12,3125;92,95833333;1,907916667
2000-10-14;10,21;17,37;13,17791667;87,70833333;1,95125
2000-10-15;10,72;15,78;13,23416667;93,08333333;4,4575
2000-10-16;10,25;19,81;14,80083333;82,875;4,033913043
2000-10-17;7,67;16,3;11,74625;90,16666667;2,124583333
2000-10-18;6,71;14,06;10,38833333;91,45833333;1,50625
2000-10-19;9,78;14,38;11,72958333;90,625;3,072916667
2000-10-20;8,45;14,59;11,01833333;92,125;3,220434783
2000-10-21;7,8;15,42;10,98416667;75,66666667;4,159565217
2000-10-22;6,67;18,18;11,22;84,04166667;2,062083333
2000-10-23;5,55;16,97;10,35458333;83,625;2,9075
2000-10-24;8,71;14,84;11,7775;81,29166667;5,252916667
2000-10-25;10,29;14,71;12,20869565;77,58333333;5,710869565
2000-10-26;7,41;13,14;10,76375;81,875;5,015416667
2000-10-27;6,94;11,89;9,284166667;82,58333333;4,652083333
2000-10-28;9,82;12,92;11,36695652;92,54166667;3,7725
2000-10-29;8,66;14,97;11,68166667;75,41666667;5,235416667
2000-10-30;8,62;16,08;12,53708333;63,83333333;7,4975
2000-10-31;8,83;13,06;11,08333333;75,95833333;5,484166667
2000-11-01;6,57;12,96;9,47625;76,04166667;4,837826087
2000-11-02;5,24;12,88;9,03375;77,45833333;4,418695652
2000-11-03;6,27;10,16;8,213913043;86;2,797391304
2000-11-04;3,9;10,39;7,669583333;92,16666667;2,305833333
2000-11-05;2,2;9,25;4,790434783;90,25;2,8325
2000-11-06;1,79;9,1;5,469565217;87,5;5,360416667
2000-11-07;6,59;13,04;9,524583333;86,95833333;3,481666667
2000-11-08;5,72;12,16;8,519583333;76,91666667;4,23
2000-11-09;5,88;11,16;7,927083333;81;4,054166667
2000-11-10;4,15;9,81;6,708333333;78,75;4,72375
2000-11-11;4,97;9,25;6,481666667;77,5;4,339583333
2000-11-12;3,04;10,86;6,533478261;73,70833333;4,528333333
2000-11-13;7,07;11,83;9,397083333;75,875;3,719583333
2000-11-14;6,61;10,93;8,599090909;92,41666667;1,497083333
2000-11-15;5,54;9,53;7,788333333;91,5;2,847916667
2000-11-16;2,82;9,06;5,7025;87,375;2,938333333
2000-11-17;1,22;4,6;3,165;97,16666667;1,957272727
2000-11-18;2,76;6,41;4,810416667;88,04166667;4,215833333
2000-11-19;1,93;8,07;4,158695652;79,125;4,808333333
2000-11-20;1,87;9,2;4,840434783;88,375;2,960833333
2000-11-21;2,68;5,87;4,510833333;97,16666667;2,02
2000-11-22;3,27;9,37;6,120454545;90,45833333;3,80125
2000-11-23;3,2;9,28;6,482608696;91,79166667;2,931666667
2000-11-24;3,11;8,01;5,599166667;93,25;2,6325
2000-11-25;2,75;6,6;4,990833333;97,75;1,305416667
2000-11-26;3,23;6,21;4,607391304;94,33333333;2,741666667
2000-11-27;3,91;7,73;5,816666667;91,45833333;3,2375
2000-11-28;1,99;9,78;5,025;93,29166667;3,486521739
2000-11-29;7,17;12,81;9,935416667;91,58333333;3,431666667
2000-11-30;4,41;11,23;7,16173913;93,75;2,587083333
2000-12-01;3,06;7,91;4,9425;95,79166667;3,224782609
2000-12-02;3,48;9,36;6,525416667;96,375;2,331666667
2000-12-03;3,86;8,6;6,820416667;93,95833333;3,204583333
2000-12-04;2,45;7,69;4,90875;94,58333333;2,7375
2000-12-05;3,56;9,51;5,78;93;2,814166667
2000-12-06;1,86;5,8;3,249583333;93,08333333;3,478333333
2000-12-07;1,91;8,08;4,638333333;91;3,574347826
2000-12-08;3,67;9,76;6,692916667;88,95833333;3,922608696
2000-12-09;5,59;10,53;7,567916667;91,875;3,355652174
2000-12-10;4,7;9,09;6,739166667;91,04166667;4,016956522
2000-12-11;7,46;10,52;8,890434783;86,5;5,115416667
2000-12-12;9,15;13,13;11,23086957;92,16666667;4,684166667
2000-12-13;9,36;13,51;11,24904762;73,70833333;6,645833333
2000-12-14;6,01;9,3;7,695416667;78,54166667;5,644583333
2000-12-15;3,67;6,41;5,406666667;89,91666667;5,531666667
2000-12-16;1,31;4,85;3,31125;90,70833333;7,612173913
2000-12-17;2,95;4,01;3,510833333;92,45833333;4,564166667
2000-12-18;0,26;3,74;2,474166667;95,08333333;2,537391304
2000-12-19;-0,26;2,15;0,86;95,58333333;1,65875
2000-12-20;-2,17;0,56;-0,675416667;93,95833333;3,07173913
2000-12-21;-3,26;-0,48;-2,057916667;85,08333333;3,798333333
2000-12-22;-5,6;-1,85;-4,053333333;85,91666667;3,57875
2000-12-23;-7,18;-1,37;-5,012916667;84;2,488333333
2000-12-24;-5,29;-1,37;-2,87875;91,70833333;1,482083333
2000-12-25;-2,3;-0,21;-1,3;97,08333333;2,446666667
2000-12-26;-4,15;-1,62;-2,505833333;98,08333333;3,215
2000-12-27;-2,47;1,12;-0,40625;96,41666667;2,479565217
2000-12-28;-0,87;1,42;0,132916667;95,16666667;3,104166667
2000-12-29;-4,6;0,43;-2,257826087;89,58333333;3,637083333
2000-12-30;-4,87;-0,1;-2,68875;93,91666667;2,1675
2000-12-31;-3,81;0,57;-1,27125;92,41666667;3,825416667
2001-01-01;-9,18;0,61;-2,86;86,33333333;4,105652174
2001-01-02;0,31;3,39;1,991666667;91,70833333;3,67375
2001-01-03;1,54;5,56;3,54173913;91,125;4,031304348
2001-01-04;-1,35;3,81;1,492083333;92,54166667;3,64625
2001-01-05;2,7;7,36;4,6175;91,33333333;4,987083333
2001-01-06;4,51;9,68;7,035;89,83333333;4,82875
2001-01-07;2,32;6,72;4,229166667;92,75;2,699583333
2001-01-08;-1,02;4,84;1,91625;94,41666667;2,05173913
2001-01-09;-0,33;4,53;2,78875;91,04166667;4,059583333
2001-01-10;-0,03;3,77;2,569583333;92,20833333;2,32875
2001-01-11;-4,11;1,62;-0,857391304;86,04166667;2,726956522
2001-01-12;-3,38;0,9;-1,08625;95,66666667;2,329565217
2001-01-13;-4,92;-1,14;-2,638333333;98,54166667;1,852083333
2001-01-14;-2,91;-1,8;-2,399166667;95,45833333;1,106666667
2001-01-15;-3,2;-0,29;-2,246363636;92,125;2,517391304
2001-01-16;-4,6;0,49;-2,5225;90,45833333;3,430416667
2001-01-17;-5,98;-0,55;-3,747083333;88,125;3,596666667
2001-01-18;-6,05;-1,06;-3,409583333;90,79166667;3,147826087
2001-01-19;-3,8;0,36;-1,65125;91,79166667;2,165
2001-01-20;-5,09;0,87;-1,995416667;92,83333333;2,669130435
2001-01-21;-3,11;0,34;-1,366086957;93,375;2,875416667
2001-01-22;-1,81;0,53;-1,065652174;91,95833333;4,70375
2001-01-23;0,23;3,52;1,428695652;91,79166667;4,625416667
2001-01-24;1,09;5,6;3,664583333;91,5;5,5025
2001-01-25;1,04;7,25;3,473636364;94,54166667;2,749130435
2001-01-26;0,87;6,57;3,412608696;92,70833333;3,015416667
2001-01-27;-0,68;3,67;1,585833333;92,875;4,0075
2001-01-28;1,47;2,66;2,109166667;96,25;4,727083333
2001-01-29;1,13;3,97;2,486666667;96,25;2,566086957
2001-01-30;0,51;2,62;1,41625;94,29166667;1,4975
2001-01-31;0,14;2,88;1,214583333;93,33333333;2,42875
2001-02-01;-1,07;1,39;0,298333333;94,66666667;2,90375
2001-02-02;-7,16;-0,58;-2,616956522;85,45833333;3,004583333
2001-02-03;-9,33;-3,49;-5,646666667;81,66666667;2,987083333
2001-02-04;-6,34;-3,62;-4,965416667;83,58333333;5,529583333
2001-02-05;-6,74;5,8;0,656666667;93,20833333;4,601666667
2001-02-06;5,08;11,02;8,636956522;88,20833333;5,102916667
2001-02-07;6,99;10,93;8,716086957;89,54166667;3,283478261
2001-02-08;6,87;12,65;9,463333333;73,83333333;4,429166667
2001-02-09;1,07;8,21;5,066666667;88,29166667;3,25625
2001-02-10;-2,42;4,9;0,613043478;87,08333333;1,59625
2001-02-11;-1,2;8,65;4,141666667;78,41666667;4,47875
2001-02-12;6,61;11,44;9,057083333;82,70833333;4,847083333
2001-02-13;-0,86;7,04;4,305833333;89,33333333;3,141666667
2001-02-14;-0,94;4,53;1,494583333;95,91666667;2,585416667
2001-02-15;-2,39;7,67;1,716956522;88,20833333;2,550416667
2001-02-16;-3,94;8,08;1,546666667;88,625;2,044583333
2001-02-17;-0,55;4,68;2,1;90,66666667;3,234583333
2001-02-18;-0,61;7,74;2,929583333;86,875;4,709583333
2001-02-19;-0,62;3,87;2,11;91,83333333;4,52173913
2001-02-20;2,11;6,93;4,39125;77,875;6,245833333
2001-02-21;3,96;7,5;5,2875;79,08333333;8,362916667
2001-02-22;-0,05;4,73;2,522083333;85,33333333;7,195
2001-02-23;-4,75;0,09;-1,76625;93,45833333;2,805217391
2001-02-24;-12,87;-3,01;-6,450833333;87,66666667;2,634166667
2001-02-25;-11,31;0,29;-3,433333333;90,25;3,523043478
2001-02-26;-5,55;1,4;-2,2975;89;3,144583333
2001-02-27;-11,67;1,6;-3,656956522;90,20833333;3,25125
2001-02-28;-5,51;4,17;-1,018333333;77,29166667;3,61826087
2001-03-01;-3,34;5,43;0,714583333;79;2,373333333
2001-03-02;-3,83;2,42;0,25375;88,04166667;2,951666667
2001-03-03;-4,04;3,19;-0,057083333;85,16666667;3,434782609
2001-03-04;-1,43;0,69;-0,505833333;94;3,82375
2001-03-05;-4,46;3,39;0,014166667;93,16666667;2,876666667
2001-03-06;-6,5;5,24;-0,58625;83,79166667;2,282916667
2001-03-07;-3,32;6,32;1,9625;77,20833333;3,54
